full_name,position_name,team_name,war,player_id,Draft Season,Draft Position,TPE Value,TPE Description,S10-S14 Salary,url
Ez Eldin Deng,P,Death Valley Scorpions,-0.36,170,S2,27,0,Retired,,http://pbesim.com/players/player_170.html
Lewis Robertson,3B,Death Valley Scorpions,-0.09,376,S8,28,255,255,"$2,000,000.00 ",http://pbesim.com/players/player_376.html
Hans Herjolfur,P,Death Valley Scorpions,-0.33,72,S3,21,100,100,$0.00 ,http://pbesim.com/players/player_72.html
Ziggy Coffey,1B,Death Valley Scorpions,17.22,119,S2,9,1209,1209,"$27,750,000.00 ",http://pbesim.com/players/player_119.html
Isidore Fox,CF,Death Valley Scorpions,0.6,366,S8,10,540,540,"$3,000,000.00 ",http://pbesim.com/players/player_366.html
Damien Walec,P,Death Valley Scorpions,1.42,127,S6,5,364,364,"$3,000,000.00 ",http://pbesim.com/players/player_127.html
Takumi Fujiwara,3B,Death Valley Scorpions,-4.44,28,S5,27,315,315,"$2,000,000.00 ",http://pbesim.com/players/player_28.html
TJ Sparks,P,Death Valley Scorpions,-0.5,35,S4,12,105,105,$0.00 ,http://pbesim.com/players/player_35.html
Martinez Pedro,P,Death Valley Scorpions,-0.15,320,S6,27,100,100,$0.00 ,http://pbesim.com/players/player_320.html
Hawk Russell,LF,Death Valley Scorpions,7.38,124,S4,7,738,738,"$6,500,000.00 ",http://pbesim.com/players/player_124.html
Catolo Kittone,C,Death Valley Scorpions,1.59,158,S6,11,575,575,"$9,750,000.00 ",http://pbesim.com/players/player_158.html
Johny Matthews,2B,Death Valley Scorpions,-0.22,341,S7,11,228,228,$0.00 ,http://pbesim.com/players/player_341.html
Omar Wright,P,Death Valley Scorpions,1.58,34,S4,1,198,198,"$500,000.00 ",http://pbesim.com/players/player_34.html
Khamati Kahn,P,Death Valley Scorpions,23.29,126,S2,21,927,927,"$7,250,000.00 ",http://pbesim.com/players/player_126.html
Jim Kekton,3B,Death Valley Scorpions,-1.32,125,S6,22,186,186,$0.00 ,http://pbesim.com/players/player_125.html
Alex Rolison,P,Death Valley Scorpions,-0.72,157,S4,8,108,108,$0.00 ,http://pbesim.com/players/player_157.html
Kazuya Miyuki,C,Vancouver Vandals,-0.41,64,S3,17,0,Retired,,http://pbesim.com/players/player_64.html
Toledo Jones,1B,Vancouver Vandals,-4.54,321,S7,6,317,317,"$3,000,000.00 ",http://pbesim.com/players/player_321.html
Steven Moore,3B,Vancouver Vandals,16.81,78,S2,14,0,Retired,,http://pbesim.com/players/player_78.html
Mariano Riviera,P,Vancouver Vandals,-0.48,79,S2,22,192,192,"$500,000.00 ",http://pbesim.com/players/player_79.html
Hunter Harrison,3B,Vancouver Vandals,-0.23,375,S8,8,592,592,"$13,000,000.00 ",http://pbesim.com/players/player_375.html
Greg Steiner,P,Vancouver Vandals,35.92,76,S2,10,1719,1719,"$25,000,000.00 ",http://pbesim.com/players/player_76.html
Phillip Thompson,P,Vancouver Vandals,34.43,77,S2,16,1609,1609,"$48,500,000.00 ",http://pbesim.com/players/player_77.html
Dongus Dio,1B,Vancouver Vandals,-0.25,73,S3,18,254,254,$0.00 ,http://pbesim.com/players/player_73.html
Cody Braun,SS,Vancouver Vandals,0.14,75,S2,40,172,172,$0.00 ,http://pbesim.com/players/player_75.html
Kyle Bellinger,2B,Vancouver Vandals,-0.32,409,S9,5,345,345,"$9,000,000.00 ",http://pbesim.com/players/player_409.html
Josh Kings,2B,Vancouver Vandals,-0.3,390,S9,43,205,205,"$3,000,000.00 ",http://pbesim.com/players/player_390.html
Arbin Asipi Jr,SS,Vancouver Vandals,0.62,355,S8,9,655,655,"$12,000,000.00 ",http://pbesim.com/players/player_355.html
Orlando Jackson,DH,Vancouver Vandals,-5.11,140,S5,18,422,422,"$13,750,000.00 ",http://pbesim.com/players/player_140.html
CJ Henderson,P,Vancouver Vandals,-2.31,363,S8,31,139,139,"$2,000,000.00 ",http://pbesim.com/players/player_363.html
Chuck Gamble,P,Vancouver Vandals,6.41,165,S2,4,660,660,"$7,500,000.00 ",http://pbesim.com/players/player_165.html
Jeffrey Murphy,2B,Vancouver Vandals,0.17,342,S7,18,338,338,"$1,500,000.00 ",http://pbesim.com/players/player_342.html
Chris Bennett,P,Vancouver Vandals,7.74,11,S5,2,390,390,"$3,000,000.00 ",http://pbesim.com/players/player_11.html
Boomerang Goblin,1B,Vancouver Vandals,-0.52,58,S3,14,0,Retired,,http://pbesim.com/players/player_58.html
D'Aroldis Borkman,P,Vancouver Vandals,27.66,62,S3,3,1595,1595,"$9,750,000.00 ",http://pbesim.com/players/player_62.html
Mason Brown,P,Vancouver Vandals,-1.58,123,S6,7,224,224,"$19,250,000.00 ",http://pbesim.com/players/player_123.html
Leo Komarov,P,Vancouver Vandals,-0.31,404,S9,16,274,274,"$6,000,000.00 ",http://pbesim.com/players/player_404.html
Benjamin Beaux,LF,Vancouver Vandals,-2.45,323,S7,13,108,108,"$1,000,000.00 ",http://pbesim.com/players/player_323.html
Godfrey Bowman,RF,Vancouver Vandals,0.8,8,S5,12,890,890,"$17,000,000.00 ",http://pbesim.com/players/player_8.html
Seth Porter,P,Vancouver Vandals,-1.43,367,S8,13,159,159,"$8,000,000.00 ",http://pbesim.com/players/player_367.html
Huki Hawaii,C,Vancouver Vandals,3.6,65,S6,2,717,717,"$50,000,000.00 ",http://pbesim.com/players/player_65.html
Peter Dawson,P,Vancouver Vandals,0.05,396,S9,6,326,326,"$6,000,000.00 ",http://pbesim.com/players/player_396.html
Dafydd Davies,P,Vancouver Vandals,1.3,400,S9,10,260,260,"$9,000,000.00 ",http://pbesim.com/players/player_400.html
Barry Keller,P,Vancouver Vandals,1.29,360,S8,1,658,658,"$13,000,000.00 ",http://pbesim.com/players/player_360.html
Ike Thompson,2B,Vancouver Vandals,0,19,S5,11,114,114,$0.00 ,http://pbesim.com/players/player_19.html
Michael Oxard,P,Vancouver Vandals,0.17,319,S6,14,100,100,$0.00 ,http://pbesim.com/players/player_319.html
Reggie Malone,LF,Vancouver Vandals,0.04,7,S5,6,129,129,$0.00 ,http://pbesim.com/players/player_7.html
John DeMars,LF,Florida Space Rangers,-1.74,379,S5,0,505,505,"$12,000,000.00 ",http://pbesim.com/players/player_379.html
Hayley MaConnell,P,Florida Space Rangers,1.02,401,S9,38,382,382,"$15,000,000.00 ",http://pbesim.com/players/player_401.html
Tater Sewell,C,Florida Space Rangers,-0.27,406,S9,26,100,100,"$11,000,000.00 ",http://pbesim.com/players/player_406.html
Chanandler Bong,1B,Florida Space Rangers,-1.17,408,S9,19,362,362,"$15,000,000.00 ",http://pbesim.com/players/player_408.html
Adrian Kaine,P,Florida Space Rangers,-0.05,398,S9,17,211,211,"$15,000,000.00 ",http://pbesim.com/players/player_398.html
J.A. Jabs,P,Florida Space Rangers,0.42,399,S9,3,379,379,"$10,000,000.00 ",http://pbesim.com/players/player_399.html
Epictitus Milburn,P,Utah Railroaders,-0.68,426,S9,22,262,262,"$2,000,000.00 ",http://pbesim.com/players/player_426.html
Seth Crossland,CF,Utah Railroaders,-0.98,427,S9,4,382,382,"$15,000,000.00 ",http://pbesim.com/players/player_427.html
D.J. Steele,1B,Utah Railroaders,-0.53,428,S8,17,100,100,,http://pbesim.com/players/player_428.html
JD Jacks,2B,Utah Railroaders,-0.75,430,S9,42,374,374,"$5,000,000.00 ",http://pbesim.com/players/player_430.html
Stratfer Wakera,1B,Utah Railroaders,0.02,431,S9,34,100,100,"$1,250,000.00 ",http://pbesim.com/players/player_431.html
Moises Hammond,C,Utah Railroaders,-1.22,435,S10,9,255,255,"$10,500,000.00 ",http://pbesim.com/players/player_435.html
Artem Maximovich,1B,Utah Railroaders,-1.68,436,S10,20,284,284,"$6,000,000.00 ",http://pbesim.com/players/player_436.html
Colben Fairborn,P,Utah Railroaders,0.5,466,S10,4,181,181,"$9,000,000.00 ",http://pbesim.com/players/player_466.html
Dorothy Morimura,RF,Utah Railroaders,-1.68,392,S9,25,398,398,"$7,500,000.00 ",http://pbesim.com/players/player_392.html
